"","primary_drug_concept_id_list","secondary_drug_concept_id_list","excluding_drug_concept_id_list","regimen_concept_id","regimen_name"
"75","1397599","1337620","955632;1315411;1344354;1387104",35805336,"Capecitabine, Cisplatin, RT"
"76","1518254","","794068;1112807;1301267;1304107;1305058;1308290;1309188;1310317;1311078;1311799;1314273;1314924;1318011;1326481;1329241;1336825;1337651;1338512;1344905;1350066;1350504;1354698;1358436;1379969;1380068;1390051;1395557;1397599;1436650;1437379;1506270;1551099;1750500;1760616;19008336;19011440;19012585;19015523;19026972;19051649;19054825;19078187;19136750;19137042;35604032;35605744;35606214;40167582;40175460;42873638;43013182;43014237;43533115;45775965;46221435",35804388,"Dexamethasone monotherapy"
"77","1344905","1378382;40238188","",35806402,"Carboplatin, Paclitaxel, Ipilimumab"
"78","1397141","1397599;1304919","",35806175,"Cisplatin, Pemetrexed, Bevacizumab"
"79","1315942","1337620","1314924;1318011;1344354",35804246,"Capecitabine and Docetaxel"
"80","19078097","1309188","903643;1311078;1350504;1437379",35803558,"Idarubicin, then Mitoxantrone, then Idarubicin"
"81","1366310","1356461","",35806827,"Flutamide, Goserelin, RT"
"82","1560123","","",35803517,"Ivosidenib monotherapy"
"83","1359548","1337620","",35804311,"Capecitabine and Lapatinib"
"84","1344905","1343346","",35806405,"Carboplatin and Vinorelbine"
"85","19015523","1301267;1311078;1350504","",35803998,"BeEAM"
"86","984232","","1308432;1309770;1379969;1397599;46221699",35806376,"Isotretinoin monotherapy"
"87","1344381","","1315942;1351541;1356461;1366310",35806832,"Bicalutamide and RT"
"88","1338512","1329241;1305058;1311443;1397599;1310317","",35806475,"MA-BCD/AP"
"89","1397599","1391846;1308290","",35806112,"Cisplatin, Lomustine, Vincristine"
"90","1344905","1314924","1314273;1325363;1378382;1397141;1518254",35804156,"Carboplatin and Gemcitabine"
"91","1397141","1343346","",35804268,"Vinorelbine and Bevacizumab"
"92","1314924","955632","1318011;1344354;1367268;1388796;1397599",35804558,"Gemcitabine, then Fluorouracil and RT, then Gemcitabine"
"93","1397599","1390051","",35806494,"Chlorambucil and Cisplatin"
"94","1312706","1301267;1395557","",35803629,"Fludarabine, Melphalan, Alemtuzumab"
"95","19010482","","",35803739,"Cyclosporine monotherapy"
"96","19078187","1354698;1309188;1350504","",35805118,"MINE"
"97","43532299","","43532497",35804434,"Dabrafenib monotherapy"
"98","1305058","1326481;1308290","",35806982,"Methotrexate, Pegaspargase, Vincristine"
"99","1344354","1310317;955632","1305058;1387104;1397141",35102010,"FEC and H (SC)"
"100","1344905","19137385;1310317","",35804337,"CTCb, then auto HSCT"
"101","1338512","1329241;1397599;19008264;1310317","",35807029,"CISCA/VB"
"102","1333357","19137385","1310317",35804001,"Bu/TT"
"103","44816340","1522957","",35806383,"Lutetium Lu 177 dotatate and Octreotide LAR"
"104","1311078","1311799;19054825","",35803456,"DAC"
"105","1333357","19137385","1310317",35804414,"Bu/TT, then auto HSCT"
"106","1338512","1310317;1350504","1301267;1305058;1308290;1311078;1311443;1314273;1329241;1336825;1344905;1351779;1367268;1378509;1394337;1397599;1518254;1550557;1551099;19008336;19078187;19136750;19137042;35197850",35806954,"CDE"
"107","1351541","1356461","",35806844,"Flutamide and Leuprolide"
"108","19078097","1311078","903643;1304107;1304850;1305058;1309188;1314273;1337651;1350504;1363387;1391846;1395557;1436650;1437379;1551860;19009705;19054821;19128219;46221435",35803447,"7 plus 3i"
"109","1341149","","1305058;1314273;1337620;1367268;1391846;1397141;19137042;46221699",35803686,"Temozolomide and RT"
"110","1303425","","",35805800,"Tranexamic acid monotherapy"
"111","1318011","40168303;955632","1315411;1367268;1397141",35102004,"FOLFOX4 (L-Leucovorin)"
"112","1314865","1363387","",35803516,"Azacitidine and Sorafenib"
"113","35200995","","",35805758,"Moxetumomab pasudotox monotherapy"
"114","1314865","35604205","",35803466,"Azacitidine and Venetoclax"
"115","1436678","1300978","",35805250,"Megestrol and Tamoxifen"
"116","1344905","19078187;1518254;1350504","",35805123,"DICE"
"117","792844","","",35805074,"Axicabtagene ciloleucel monotherapy"
"118","1329241","1311443;1397599;19078187;1354698;1310317","",35806471,"IP-BCD"
"119","1388796","1367268;955632","1314924;1315411;1318011;1397141;19100985;40244266;44818489",35804778,"IFL"
"120","42900250","","",35804322,"Enzalutamide monotherapy"
"121","1314273","1311078;1350504","1301267;1305058;1308290;1310317;1338512;1350066;1397599;1506270;1518254;1551099;19008336;19051649;19068830;19078187;19136750",35806086,"EAR and G-CSF"
"122","45775965","42709322","",35101813,"Axitinib and Pembrolizumab"
"123","1338512","1378382;1397599","",35805246,"Cisplatin, Doxorubicin, Paclitaxel"
"124","1397599","19008264;1311409","1309770;1380068",35806125,"CVD (Vinblastine)"
"125","19026972","1518254","1301267;1310317;1314273;1336825;1337651;1551099;1750500;19015523;35604032;35605744;35606214;42873638;46221435",35806067,"RD"
"126","1315411","","955632;1314924;1315942;1318011;1337620;1343346;1344905;1367268;1388796;1397599;40168303",35805766,"Cetuximab and RT"
"127","1390051","1309188;1550557","1314273",35102017,"MCP (Prednisolone)"
"128","1338512","1305058;19012585;1436650;1551099;1308290","",35806980,"Doxorubicin, L-asparaginase, Mercaptopurine, Methotrexate, Vincristine, Prednisone"
"129","1338512","1314273;1551099;1310317;1308290","1305058;1311078;1336825;1350504;1397599;1518254;1593155;19008336;19026972;19078187;19136750",35806664,"R, then CHOP"
"130","1387104","1315946;1359548","",35804293,"Lapatinib, Letrozole, Trastuzumab"
"131","1338512","1329241;1551099;1310317;1308290","1305058;1311078;1311409;1350504;1351779;19008264;19136750",35805101,"LD-ACOP-B"
"132","1344905","1378382;45892579","",35806483,"Carboplatin, Olaparib, Paclitaxel"
"133","19026972","1301267;1336825;1551099;1518254","",35806300,"VMP/Rd"
"134","1559914","1559930","",35806137,"Binimetinib and Encorafenib"
"135","19078097","1311078;1363387","",35803450,"Cytarabine, Idarubicin, Sorafenib"
"136","1350066","1301267;1314273;1311078;1518254;1350504","",35805054,"R-DexaBEAM"
"137","1389036","","955632;1314924;1337620;1338512;1344354;1344905;1367268;1388796;1397599;19008264;19008336;19078187;43008996",35805685,"UFTM"
"138","35602760","","",35804789,"Trifluridine and tipiracil monotherapy"
"139","1394023","","1305058;1308290;1311078;1311799;1350504;1550557",35804079,"Nilotinib monotherapy"
"140","1344354","1310317;1308290","1314273;1550557;1551099",35806939,"CEV and RT"
"141","955632","","1301267;1305058;1308290;1309188;1310317;1311078;1314924;1315411;1315942;1318011;1337620;1338512;1344354;1344905;1350504;1367268;1368823;1377141;1378382;1387104;1388796;1389036;1389464;1397141;1397599;1436678;1500211;1551099;19051649;19086176;19100985;19136210;19137385;35603068;40168303;40244266;44818489",35806583,"Fluorouracil/Fluorouracil and RT"
"142","19054821","","1301267;1304850;1310317;1311078;1350504;19024728;19078097",35803469,"Clofarabine monotherapy"
"143","1338512","19078187;1350504","1305058;1308290;1310317;1311078;1311443;1314273;1329241;1367268;1378509;1397599;1518254;1551099;19008336;19136750",35806962,"EIA"
"144","1338512","40241969;19008264;1311409","",35805807,"A plus AVD"
"145","1310317","","794068;955632;1301267;1304107;1305058;1308290;1309188;1311078;1311409;1311443;1311799;1312706;1314273;1314924;1315942;1326481;1329241;1333357;1336825;1337651;1338512;1344354;1344905;1350066;1350504;1351779;1354698;1358436;1367268;1368823;1378382;1378509;1380068;1380191;1387104;1388796;1391846;1394337;1395557;1397141;1397599;1436650;1436678;1437379;1500211;1506270;1518254;1525866;1550557;1551099;1593155;19002912;19008264;19008336;19011440;19012585;19026972;19031224;19051642;19051649;19054821;19054825;19054997;19068830;19078097;19078187;19086176;19136750;19137042;19137385;21017157;35197850;40167582;40175460;40241969;42873638;42874135;43013182;43014237;44507676",35806292,"Cyclophosphamide and G-CSF"
"146","1377141","","955632;1304107;1311409;1315942;1350066;1397599",35805376,"Hydroxyurea monotherapy"
"147","1338512","1551099;1310317;19136750","1305058;1308290;1311078;1314273;1329241;1350504;1380068;1518254;19008336;19078187",35101988,"CHVmP"
"148","1305058","19051649;1314273;1310317;1308290","1311078;1350504;19078187",35804382,"R-CODOX-M (Doxil substituted)"
"149","1336825","1518254","1301267;1308290;1310317;1314273;1338512;1350504;1390051;1397599;1551099;19015523;19026972;19051649;19137042;35604032;35605744;43014237;46221435",35806059,"VD"
"150","1338512","1329241;1551099;1350504;1308290","1305058;1310317;1311078;1351779;1394337;19008264",35805111,"VABE"
"151","1304107","","1305058;1308290;1309188;1310317;1311078;1311799;1338512;1377141;1379969;1380068;1436650;1518254;1551099;1714165;19012585;19078097",35804632,"Imatinib monotherapy, planned discontinuation"
"152","19078097","1311078;1337651","",35803525,"Cytarabine, Idarubicin, Vorinostat"
"153","1301267","19137042;1551099","1336825",35806286,"MPT"
"154","1397599","1367268","1350504",35805332,"Cisplatin, Irinotecan, RT"
"155","1397599","19008264;1350504","1329241;19078187",35806431,"PEV"
"156","1397141","1367268;1366689","",35804780,"IRIS and Bevacizumab"
"157","1305058","1311078;794068;1310317;1518254;1308290","",35804050,"Mini-Hyper-CVD/MA and Inotuzumab ozogamicin"
"158","1551099","19008264","1305058;1308290;1309188;1310317;1311409;1314273;1314924;1329241;1338512;1344354;1350066;1350504;1351779;1390051;1391846;1394337",35805984,"Vinblastine and Prednisone"
"159","19051649","1506270;1350504","",35805784,"DEP"
"160","1338512","1311078;1551099;1310317;1350504;1308290","1305058;1314273;1329241;1518254;19008336;19078187;19136750",35804385,"COPAD/CYVE"
"161","19068830","1314273;1310317;1395557","",35803632,"(90)YFC"
"162","1344354","1315942","1337620",35804210,"DE"
"163","792649","1348265","",35804280,"Abemaciclib and Anastrozole"
"164","1338512","1344905;35197850;19008336;1551099;1310317;1350504;1308290","",35803593,"LSG15"
"165","1318011","1314273;1311078;1395557","",35804615,"OFAR"
"166","1503501","","1380068",35806580,"Lanreotide Depot/Autogel monotherapy"
"167","19051649","1518254;1308290","19137042",35806296,"VAD doxil"
"168","1305058","19008264","1329241;1338512;1397599;1436650;1550557;1551099",35804343,"MV"
"169","1338512","1397599;1350504;1309161","",35803589,"Mitotane and EDP"
"170","1301267","1310317;1518254;1350504","1336825;1338512;1397599;19137042",35804009,"LEED"
"171","1314273","","794068;1301267;1305058;1308290;1309188;1310317;1311078;1311409;1311799;1312706;1314924;1318011;1329241;1333357;1336825;1337651;1338512;1341149;1343346;1344354;1344905;1350066;1350504;1351779;1354698;1378382;1378509;1390051;1391846;1395557;1396729;1397141;1397599;1506270;1518254;1550557;1551099;1593155;19008264;19008336;19011440;19012585;19015523;19026972;19031224;19051649;19054825;19068830;19078097;19078187;19092845;19136750;19137042;19137385;35604205;40175460;42873638;42874135;44507848;45776944;46221435",35805631,"Rituximab monotherapy, extended course"
"172","1387104","1344354;1310317;955632","",35804299,"FEC and H"
"173","1341149","","1305058;1314273;1337620;1367268;1391846;1397141;19137042;46221699",35803685,"Temozolomide, then Temozolomide and RT, then Temozolomide"
"174","19011440","1522957","",35806379,"Everolimus and Octreotide"
"175","1310317","1518254;43014237","",35806316,"PCD"
"176","1305058","19012585;1311078;1551099;1311799;1308290;19136750","",35804046,"Linker regimen (consolidation)"
"177","1338512","1329241;1551099;1310317;1351779;1350504;1308290","",35805812,"BEACOPP-14"
"178","1378382","1318011;1314924","",35807024,"Gemcitabine, Oxaliplatin, Paclitaxel"
"179","1338512","1312706;1551099;1310317;1308290","",35806638,"CHOP-AL"
"180","1338512","1310317;1308290;1550557","1305058;1314273;1329241;1336825;1350504;1351779;19012585",35804323,"CVAP"
"181","1338512","1329241;19136210;19008264","",35805859,"BVDS"
"182","1344905","1378382;1397141;42629079","",35806407,"ABCP"
"183","42801287","1387104","1315942;1337620;1344905;1378382",35804314,"Pertuzumab and Trastuzumab"
"184","1436650","","903643;1304107;1305058;1308290;1310317;1311078;1311799;1326481;1338512;1350504;1437379;1518254;1550557;1551099;19002912;19008264;19012585;19078097;19128219",35804404,"Mercaptopurine and WBRT"
"185","40238188","45892628","",35804435,"Ipilimumab and Nivolumab"
"186","1378382","1397599;1311409","",35806124,"Cisplatin, Dacarbazine, Paclitaxel"
"187","1356361","","",35804170,"Tagraxofusp monotherapy"
"188","1338512","1305058;1551099;1310317;955632","1308290;1311078",35804325,"CAMFP"
"189","19015523","1314273;1336825","",35805646,"BVR"
"190","1388796","1389464;955632","",35804803,"Fluorouracil, Folinic acid, Levamisole"
"191","19051649","1397599;955632","",35805361,"Cisplatin, Doxorubicin liposomal, Fluorouracil"
"192","1397599","1311078;1518254;1350504","1305058;1314273;19078187",35806278,"EDAP"
"193","42799711","","903643;1311078;1311799;1314865;1333379;1337651",35803475,"Gemtuzumab ozogamicin monotherapy"
"194","1351541","1344381","",35806841,"Bicalutamide and Leuprolide"
"195","19100985","1388796;1367268;955632","",35804797,"FOLFIRI and Panitumumab"
"196","1378382","1314924","1318011;1344905;1397599",35804158,"Gemcitabine and Paclitaxel"
"197","1551099","1310317;955632","1305058;1308290;1311078;1338512;1436678",35804329,"CFP and Oophorectomy"
"198","1338512","1305058;19078187;1314273;1311078;19008336;1551099;1310317;1518254;1350504;1308290;19136750","",35804379,"GMALL-R"
"199","1378382","1337620","1344905",35804247,"Capecitabine and Paclitaxel"
"200","40230712","","",35804265,"Eribulin monotherapy"
"201","1344905","1350504;1308290","1305058;1310317;1338512;1551099;19008336;35197850",35806957,"CEV (Carboplatin/Etoposide)"
"202","40238188","","1311409;1344905;1378382;45892628",35806860,"Ipilimumab and RT"
"203","19015523","1336825;1518254","",35806289,"BBD"
"204","35606631","","",35805886,"Mepolizumab monotherapy"
"205","1311078","1309188","903643;1304107;1304850;1350504;1437379;19054825;19078097",35803481,"Cytarabine and Mitoxantrone"
"206","19137385","1310317;1395557","",35806588,"TFC, then allo HSCT"
"207","1389036","955632","1338512;1388796;1397599",35804806,"Fluorouracil and Mitomycin"
"208","1305058","1391846;1351779","1314273;1506270",35804415,"Lomustine, Methotrexate, Procarbazine"
"209","19012585","1551099;1308290","1304107;1305058;1310317;1311078;1311799;1314273;1338512;1436650;19136750",35804093,"L-Asparaginase, Vincristine, Prednisone"
"210","1397599","1378509","",35804541,"Cisplatin and Topotecan"
"211","1350066","1397599;1310317","",35804336,"CPB"
"212","1436678","1550557","",35804290,"Tamoxifen and Prednisolone"
"213","1305058","19078187","1308290;1310317;1311078;1314273;1329241;1338512;1350504;1354698;1378382;1397599;1518254;1551099;19008336;19012585;19051649;19136750;40175460",35804431,"Ifosfamide and Methotrexate"
"214","1348265","1304044","",35804282,"Anastrozole and Fulvestrant"
"215","1378382","42801287;43525787","",35101451,"Paclitaxel, Pertuzumab, Ado-trastuzumab emtansine"
"216","1305058","1310317","794068;955632;1304107;1308290;1309188;1311078;1311443;1314273;1329241;1338512;1344354;1344905;1350504;1351779;1358436;1368823;1388796;1391846;1394337;1397599;1436650;1436678;1437379;1506270;1518254;1550557;1551099;19008336;19011440;19012585;19051649;19078187;19136750;40175460;43013182",35806951,"Methotrexate, RT, Cyclophosphamide"
"217","1338512","1301267;1551099;1310317;1308290","1350066;1518254",35806346,"VMCP/VCAP"
"218","19026972","1336825;1518254","1301267;1310317;1551099",35806260,"RVD"
"219","1329241","1551099;1310317;1309188;1350504;1308290","",35805115,"VNCOP-B"
"220","1305058","1311443;1390051","",35807028,"Chlorambucil, Dactinomycin, Methotrexate"
"221","1338512","1506270;1308290","1305058;1310317;1311078;1518254;19011440",35806341,"VAMP"
"222","1314273","1551099;1310317;1337651;1350504","",35805081,"R-CVEP"
"223","1301267","1518254","1308290;1310317;1311078;1314273;1336825;1338512;1350066;1350504;1397599;1551099;19026972;19137042",35806348,"MEL200, then auto HSCT, then MEL220 and Dexamethasone, then auto HSCT"
"224","1333379","","903643;1311799;1390051;19078097;42799711",35803548,"Arsenic trioxide monotherapy"
"225","1350066","","1301267;1305058;1308290;1309188;1309770;1310317;1311078;1311409;1314273;1338512;1350504;1351779;1377141;1380068;1397599;1506270;1518254;1551099;19008264;19068830;19136750;19137385",35805712,"Carmustine and RT"
"226","1436678","1511449;1503057","",35804364,"TAD (Tamoxifen)"
"227","35201068","","",35804270,"Talazoparib monotherapy"
"228","1436678","","955632;1300978;1301267;1305058;1310317;1311409;1338512;1366310;1387104;1397599;1500211;1503057;1511449;1550557;1551099;1592911;19011440;43525787",35804278,"Tamoxifen and OFS"
"229","1344905","19137385;1310317","",35804006,"CTCb"
"230","1397599","1315942;955632","1388796;1397141",35805364,"DCF"
"231","1378382","1397599","955632;1305058;1311409;1314924;1338512;1344354;1397141;19078187",35804151,"Cisplatin, Paclitaxel, RT"
"232","1338512","1305058;1311078;1551099;1310317;955632;1308290","",35805099,"F-MACHOP"
"233","1338512","1314273;1551099;1310317;1350504;1308290","1305058;1311078;1518254;19008336;19078187;19136750",35804378,"DA-R-EPOCH"
"234","1378382","","793846;955632;1305058;1310317;1311409;1314273;1314924;1318011;1337620;1338512;1343346;1344354;1344905;1350504;1359548;1366689;1378509;1387104;1397141;1397599;19078187;40167554;40238188;42629079;42801287;43525787;43533090;44818489;45775965;45892579",35804205,"Paclitaxel monotherapy, weekly"
"235","1338512","1329241;1310317;1351779;1350504;1308290;1550557","",35102031,"BEACOPP-14 (Prednisolone)"
"236","1397599","","955632;984232;1301267;1304919;1305058;1308290;1309161;1309770;1310317;1311078;1311409;1311443;1314273;1314924;1315411;1315942;1325363;1326481;1329241;1336825;1337620;1338512;1343346;1344354;1344905;1350066;1350504;1354698;1366689;1367268;1368823;1377141;1378382;1378509;1379969;1380068;1380191;1387104;1388796;1389036;1390051;1391846;1397141;1436678;1506270;1518254;1551099;19008264;19008336;19038536;19051649;19078187;19100985;19137042;35606215;40167582;45775965",35804144,"Cisplatin and RT"
"237","19078097","1314273;1311078","",35804044,"Cytarabine, Idarubicin, Rituximab"
"238","1338512","1305058;1311078;1358436;1310317;1518254;1308290","",35804072,"Hyper-CVAD and Dasatinib"
"239","1338512","1329241;1551099;19008264;1311409;1310317;1351779;1308290","",35805826,"COPP/ABVD"
"240","1350066","1301267;1551099;1310317;1308290","1338512;1518254",35806339,"VBMCP"
"241","1367268","1337620","1397141",35804767,"CAPIRI"
"242","1310317","","794068;955632;1301267;1304107;1305058;1308290;1309188;1311078;1311409;1311443;1311799;1312706;1314273;1314924;1315942;1326481;1329241;1333357;1336825;1337651;1338512;1344354;1344905;1350066;1350504;1351779;1354698;1358436;1367268;1368823;1378382;1378509;1380068;1380191;1387104;1388796;1391846;1394337;1395557;1397141;1397599;1436650;1436678;1437379;1500211;1506270;1518254;1525866;1550557;1551099;1593155;19002912;19008264;19008336;19011440;19012585;19026972;19031224;19051642;19051649;19054821;19054825;19054997;19068830;19078097;19078187;19086176;19136750;19137042;19137385;21017157;35197850;40167582;40175460;40241969;42873638;42874135;43013182;43014237;44507676",35803613,"Cyclophosphamide and TBI"
"243","1338512","1551099;1310317;1350504;1308290","1305058;1311078;1314273;1329241;1344905;1351779;1394337;1518254;19008336;19078187;19136750;35197850",35805105,"P/DOCE"
"244","1551099","1309188;1350504","1308290;1310317;1329241;1351779;19008264",35805107,"PEN"
"245","1318011","1315942;1388796;955632","",35805341,"FLOT"
"246","1344354","1310317;955632","1305058;1387104;1397141",35804212,"FEC"
"247","19026972","1310317;1518254","1336825",35806325,"CRD"
"248","1350066","1551099;19008264;1310317;1351779","",35805858,"BVCPP"
"249","19137042","1341149","",35806581,"Temozolomide and Thalidomide"
"250","1551099","19008264;1309188;1308290","",35805854,"NOVP"
